samplename	filename	condition
A673_rep1	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/A673_rep1/kallisto/abundance.tsv	A673
A673_rep2	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/A673_rep2/kallisto/abundance.tsv	A673
A673_rep3	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/A673_rep3/kallisto/abundance.tsv	A673
EW3_rep1	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/EW3_rep1/kallisto/abundance.tsv	EW3
EW3_rep2	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/EW3_rep2/kallisto/abundance.tsv	EW3
EW3_rep3	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/EW3_rep3/kallisto/abundance.tsv	EW3
EW24_rep1	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/EW24_rep1/kallisto/abundance.tsv	EW24
EW24_rep2	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/EW24_rep2/kallisto/abundance.tsv	EW24
EW24_rep3	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/EW24_rep3/kallisto/abundance.tsv	EW24
MHHES1_rep1	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/MHHES1_rep1/kallisto/abundance.tsv	MHHES1
MHHES1_rep2	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/MHHES1_rep2/kallisto/abundance.tsv	MHHES1
MHHES1_rep3	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/MHHES1_rep3/kallisto/abundance.tsv	MHHES1
RDES_rep1	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/RDES_rep1/kallisto/abundance.tsv	RDES
RDES_rep2	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/RDES_rep2/kallisto/abundance.tsv	RDES
RDES_rep3	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/RDES_rep3/kallisto/abundance.tsv	RDES
SKES1_rep1	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/SKES1_rep1/kallisto/abundance.tsv	SKES1
SKES1_rep2	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/SKES1_rep2/kallisto/abundance.tsv	SKES1
SKES1_rep3	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/SKES1_rep3/kallisto/abundance.tsv	SKES1
TC71_rep1	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/TC71_rep1/kallisto/abundance.tsv	TC71
TC71_rep2	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/TC71_rep2/kallisto/abundance.tsv	TC71
TC71_rep3	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/TC71_rep3/kallisto/abundance.tsv	TC71
ASP14_day0_rep1	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/ASP14_day0_rep1/kallisto/abundance.tsv	ASP14_day0
ASP14_day0_rep2	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/ASP14_day0_rep2/kallisto/abundance.tsv	ASP14_day0
ASP14_day0_rep3	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/ASP14_day0_rep3/kallisto/abundance.tsv	ASP14_day0
ASP14_day7_rep1	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/ASP14_day7_rep1/kallisto/abundance.tsv	ASP14_day7
ASP14_day7_rep2	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/ASP14_day7_rep2/kallisto/abundance.tsv	ASP14_day7
ASP14_day7_rep3	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/ASP14_day7_rep3/kallisto/abundance.tsv	ASP14_day7
CHLA10	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/CHLA10/kallisto/abundance.tsv	CHLA10
EW1	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/EW1/kallisto/abundance.tsv	EW1
EW7	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/EW7/kallisto/abundance.tsv	EW7
EW22	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/EW22/kallisto/abundance.tsv	EW22
MIC	/LAB-DATA/BiRD/shares/Phy-OS/bone_epigenetics/anais/projects/RNAseq_ewing/Samples/MIC/kallisto/abundance.tsv	MIC
